file,net of investment,net of pension plan investment,net of administrative and investment,discount rate,net of 0.25% of investment,net of inflation. one hundred percent (100%) of the plan’s investment,net of opeb plan investment,investment rate of return,opeb plan,net of plan investment,net of pension investment,context
"MI2020/MI Ishpeming ","","","","","","","","['7.35']","","","","none above dates are based on measurement date, which may not necessarily tie to the fiscal year 2020 - the mers retirement board adopted a reduction in the investment rate of return assumption form 7.75% to 7.35% effective with the december 31, 2019 valuation, first impacting 2021 contribution amounts. additionally, the board changed the assumed rate of wage inflation"
"MI2020/MI Ishpeming ","","","","","","","","['7.35']","","","","none above dates are based on measurement date, which may not necessarily tie to the fiscal year 2020 - the mers retirement board adopted a reduction in the investment rate of return assumption form 7.75% to 7.35% effective with the december 31, 2019 valuation, first impacting 2021 contribution amounts. additionally, the board changed the assumed rate of wage inflation"
"MI2020/MI Ishpeming ","","","","","","","","['7.75']","","","","december 31, 2019 valuation, first impacting 2021 contribution amounts. additionally, the board changed the assumed rate of wage inflation from 3.75% to 3.00%, with the same effective date. 2016 - investment rate of return lowered from 8.0% to 7.75%. 73"
"MI2020/MI Ishpeming ","","","","","","","","['7.75']","","","","december 31, 2019 valuation, first impacting 2021 contribution amounts. additionally, the board changed the assumed rate of wage inflation from 3.75% to 3.00%, with the same effective date. 2016 - investment rate of return lowered from 8.0% to 7.75%. 73"
"MI2020/MI Ubly ","","","","","","","","['7.75']","","","","actuarial assumptions – the total pension liability in the december 31, 2018 actuarial valuation was determined using the following actuarial assumptions, applied to all periods included in the measurement: inflation: 2.5%; salary increases: 3.75% in the long-term; investment rate of return: 7.75%, net of investment and administrative expenses including inflation."
"MI2020/MI Ubly ","['7.75%']","","","","","","","","","","","3.75% in the long-term salary increases 7.75%, net of investment and administrative expense including inflation investment rate of return"
"MI2020/MI Lowell ","['7.35%']","","","","","","","['7.35']","","","","salary increases: base wage inflation of 3.00% in the long-term (plus merit and longevity from 0 to 11% based on age) investment rate of return: 7.35%, net of investment expense, including inflation mortality rates used were based on the rp-2014 annuity mortality table with a 50% male and 50%"
"MI2020/MI Lowell ","['7.35%']","","","","","","","['7.35']","","","","salary increases: base wage inflation of 3.00% in the long-term (plus merit and longevity from 0 to 11% based on age) investment rate of return: 7.35%, net of investment expense, including inflation mortality rates used were based on the rp-2014 annuity mortality table with a 50% male and 50%"
"MI2020/MI Lowell ","","","","['7.6%']","","","","","","","","investment rate of return 7.60% discount rate. the discount rate used to measure the total pension liability is 7.6%. the projection of cash flows used to determine the discount rate assumes that employer and employee contributions will"
"MI2020/MI Lowell ","","","","['3.0%']","","","","","","","","inflation: implicit in expected payroll increases salary increases: 3.5% discount rate: 3.0% healthcare cost trend rates: 8.5% initially going down .25% per year, reaching a long term rate of"
"MI2020/MI Lowell ","","","","['3.0%']","","","","","","","","notes to the financial statements for the year ended june 30, 2020 discount rate. the discount rate used to measure the total opeb liability is 3.0% which did not change from the prior year. because the plan does not have a dedicated opeb trust, there are not assets"
"MI2020/MI Lowell ","","","","['3.0%']","","","","","","","","used to discount the projected benefits. from the year projected benefits are not projected to be covered by the projected assets (the “depletion date”), projected benefits would be discounted at a discount rate reflecting a 20 year aa/aa tax exempt municipal bond yield (3.0%). a single equivalent discount rate that yields the same present value of benefits is calculated (3.0%). this discount rate is"
"MI2020/MI Lowell ","","","","['3.0%']","","","","","","","","covered by the projected assets (the “depletion date”), projected benefits would be discounted at a discount rate reflecting a 20 year aa/aa tax exempt municipal bond yield (3.0%). a single equivalent discount rate that yields the same present value of benefits is calculated (3.0%). this discount rate is used to determine the total opeb liability."
"MI2020/MI Lowell ","","","","['2.7%']","","","","","","","","inflation: implicit in expected payroll increases salary increases: 3.0% discount rate: 2.7% healthcare cost trend rates: 3%"
"MI2020/MI Lowell ","","","","['2.7%']","","","","","","","","the actuarial assumptions used in valuation were based on the results of the most recent actuarial experience study. discount rate. the discount rate used to measure the total opeb liability is 2.7% which changed from the prior year (3%). because the plan does not have a dedicated opeb trust, there are not assets"
"MI2020/MI Lowell ","","","","['2.7%']","","","","","","","","used to discount the projected benefits. from the year projected benefits are not projected to be covered by the projected assets (the “depletion date”), projected benefits would be discounted at a discount rate reflecting a 20 year aa/aa tax exempt municipal bond yield (2.7%). a single equivalent discount rate that yields the same present value of benefits is calculated (2.7%). this discount rate is"
"MI2020/MI Lowell ","","","","['2.7%']","","","","","","","","covered by the projected assets (the “depletion date”), projected benefits would be discounted at a discount rate reflecting a 20 year aa/aa tax exempt municipal bond yield (2.7%). a single equivalent discount rate that yields the same present value of benefits is calculated (2.7%). this discount rate is used to determine the total opeb liability. a discount rate is used of determine the total opeb liability."
"MI2020/MI Allegan County ","['7.35%']","","","","","","","","","","","3.00% investment rate of return 7.35%, net of investment expense, including inflation mortality rates used were based on the rp-2014 group annuity mortality table of a 50% male"
"MI2020/MI Allegan County ","","","","['7.60%']","","","","","","","","4.85% discount rate the discount rate used to measure the total pension liability is 7.60%. the current discount rate shown for gasb 68 purposes is higher than the mers assumed rate of return. this is because,"
"MI2020/MI Allegan County ","","","","['8.00%']","","","","","","","","employees. therefore, the long-term expected rate of return on pension plan investments was applied to all periods of projected benefit payments to determine the total pension liability. the discount rate used to measure the total pension liability in the prior year was 8.00%. - 53 -"
"MI2020/MI Allegan County ","","","","['8.60%']","","","","","","","","the following presents the net pension liability of the county, calculated using the discount rate of 7.60%, as well as what the county’s net pension liability would be if it were calculated using a discount rate that is 1 percentage point lower (6.60%) or 1% higher (8.60%) than the current rate: net pension liability (asset) of the county"
"MI2020/MI South Lyon ","","","","['2.66 percent']","","","","","","","","measurement. discount rate the discount rate used to measure the total opeb liability at june 30, 2020 was 2.66 percent; however, the discount rate used to measure the total opeb liability at the beginning of the year was 3.51 percent."
"MI2020/MI South Lyon ","","","","['3.51 percent']","","","","","","","","discount rate the discount rate used to measure the total opeb liability at june 30, 2020 was 2.66 percent; however, the discount rate used to measure the total opeb liability at the beginning of the year was 3.51 percent. the discount rate was based on s&p municipal bond 20-year high grade rate index."
"MI2020/MI South Lyon ","","","","['3.51 percent']","","","","","","","","750,860 assumption changes the beginning of year total opeb liability was based on a single discount rate of 3.51 percent, and the end of year total opeb liability was based on a single discount rate of 2.66 percent. in addition, the beginning"
"MI2020/MI South Lyon ","","","","['2.66 percent']","","","","","","","","assumption changes the beginning of year total opeb liability was based on a single discount rate of 3.51 percent, and the end of year total opeb liability was based on a single discount rate of 2.66 percent. in addition, the beginning of year total opeb liability was based on the soa rph-2017 total dataset mortality table fully"
"MI2020/MI South Lyon ","","","","['7.6 percent']","","","","","","","","study conducted for the period from 2009-2013. discount rate the discount rate used to measure the total pension liability was 7.6 percent. the projection of cash flows used to determine the discount rate assumed that employee contributions will be made at the current"
"MI2020/MI South Lyon ","","","","['8.00 percent']","","","","","","","","contributions are recognized as expense when due and payable in accordance with the benefit terms. assumption changes the beginning of year total pension liability was based on a single discount rate of 8.00 percent, and the end of year total pension liability was based on a single discount rate of 7.60 percent."
"MI2020/MI South Lyon ","","","","['7.60 percent']","","","","","","","","assumption changes the beginning of year total pension liability was based on a single discount rate of 8.00 percent, and the end of year total pension liability was based on a single discount rate of 7.60 percent. note 11 - tax abatements"
"MI2020/MI South Lyon ","","","","['8.00 percent']","","","","","","","","pension information changes in assumptions june 30, 2020 - the beginning of year total pension liability was based on a single discount rate of 8.00 percent, and the end of year total pension liability was based on a single discount rate of 7.60 percent."
"MI2020/MI South Lyon ","","","","['7.60 percent']","","","","","","","","changes in assumptions june 30, 2020 - the beginning of year total pension liability was based on a single discount rate of 8.00 percent, and the end of year total pension liability was based on a single discount rate of 7.60 percent. opeb information"
"MI2020/MI South Lyon ","","","","['3.87 percent']","","","","","","","","opeb information changes in assumptions june 30, 2019 - the beginning of year total opeb liability was based on a single discount rate of 3.87 percent, and the end of year total opeb liability was based on a single discount rate of 3.51 percent."
"MI2020/MI South Lyon ","","","","['3.51 percent']","","","","","","","","changes in assumptions june 30, 2019 - the beginning of year total opeb liability was based on a single discount rate of 3.87 percent, and the end of year total opeb liability was based on a single discount rate of 3.51 percent. june 30, 2020 - the beginning of year total opeb liability was based on a single discount rate of 3.51 percent, and"
"MI2020/MI South Lyon ","","","","['3.51 percent']","","","","","","","","june 30, 2019 - the beginning of year total opeb liability was based on a single discount rate of 3.87 percent, and the end of year total opeb liability was based on a single discount rate of 3.51 percent. june 30, 2020 - the beginning of year total opeb liability was based on a single discount rate of 3.51 percent, and the end of year total opeb liability was based on a single discount rate of 2.66 percent. in addition, the beginning"
"MI2020/MI South Lyon ","","","","['2.66 percent']","","","","","","","","the end of year total opeb liability was based on a single discount rate of 3.51 percent. june 30, 2020 - the beginning of year total opeb liability was based on a single discount rate of 3.51 percent, and the end of year total opeb liability was based on a single discount rate of 2.66 percent. in addition, the beginning of year total opeb liability was based on the soa rph-2017 total dataset mortality table fully generational using"
"MI2020/MI Bad Axe ","['7.35%']","","","","","","","['7.35']","","",""," inflation: 2.5%  salary increases: 3.00% in the long-term  investment rate of return: 7.35%, net of investment expenses, including inflation  although no specific price inflation assumptions are needed for the valuation, the 3.00% long-term wage"
"MI2020/MI Bad Axe ","['7.35%']","","","","","","","['7.35']","","",""," inflation: 2.5%  salary increases: 3.00% in the long-term  investment rate of return: 7.35%, net of investment expenses, including inflation  although no specific price inflation assumptions are needed for the valuation, the 3.00% long-term wage"
"MI2020/MI Bad Axe ","","","","['7.6%']","","","","","","","","1.60% discount rate the discount rate used to measure the total pension liability is 7.6%. the projection of cash flows used to determine the discount rate assumes that employer and employee contributions will be made at the rates agreed upon for"
"MI2020/MI Bad Axe ","","","","['7.6%']","","","","","","","","(continued) sensitivity of the net pension liability to changes in the discount rate the following presents the net pension liability of the employer, calculated using the discount rate of 7.6%, as well as what the employer’s net pension liability would be using a discount rate that is 1% lower (6.6%) or 1% higher (8.6%)"
"MI2020/MI Bad Axe ","","","","['8.6%']","","","","","","","","sensitivity of the net pension liability to changes in the discount rate the following presents the net pension liability of the employer, calculated using the discount rate of 7.6%, as well as what the employer’s net pension liability would be using a discount rate that is 1% lower (6.6%) or 1% higher (8.6%) than the current rate."
"MI2020/MI Cheboygan ","['7.35%']","","","","","","","['7.35']","","","","inflation: 2.5% salary increases: base wage inflation of 3.00% in the long-term investment rate of return: 7.35%, net of investment expense, including inflation mortality rates used for non-disabled plan member were based on a weighted blend of rp2014 mortality tables of a 50% male and 50% female blend. mortality rates used for"
"MI2020/MI Cheboygan ","['7.35%']","","","","","","","['7.35']","","","","inflation: 2.5% salary increases: base wage inflation of 3.00% in the long-term investment rate of return: 7.35%, net of investment expense, including inflation mortality rates used for non-disabled plan member were based on a weighted blend of rp2014 mortality tables of a 50% male and 50% female blend. mortality rates used for"
"MI2020/MI Cheboygan ","","","","['7.60%']","","","","","","","","5.25% discount rate the discount rate used to measure the total pension liability is 7.60%. the projection of cash flows used to determine the discount rate assumes that employer and employee contributions will be"
"MI2020/MI Cheboygan ","","","","['6.60 percent']","","","","","","","","the following presents the net pension liability of the city, calculated using the discount rate of 7.60 percent, as well as what the city’s net pension liability would be if it were calculated using a discount rate that is one percentage point lower (6.60 percent) or one percentage point higher (8.60 percent) than the current rate:"
"MI2020/MI Cheboygan ","","","","['2.21%']","","","","","","","","mortality table fully generational using scale mp-2016 discount rate the discount rate used to measure the total opeb liability was 2.21%. based on those assumptions, the retirement plan’s fiduciary net position was not projected to be sufficient to make"
"MI2020/MI Cheboygan ","['7.35%']","","","","","","","","","","","3.00% in the long-term investment rate of return 7.35% net of investment and administrative expense including inflation retirement age"
"MI2020/MI Coldwater ","['7.35%']","","","","","","","['7.35']","","","","inflation: 2.5% salary increases: 3.0% in the long-term investment rate of return: 7.35%, net of investment and administrative expense including inflation. although no specific price inflation assumptions are needed for"
"MI2020/MI Coldwater ","['7.35%']","","","","","","","['7.35']","","","","inflation: 2.5% salary increases: 3.0% in the long-term investment rate of return: 7.35%, net of investment and administrative expense including inflation. although no specific price inflation assumptions are needed for"
"MI2020/MI Coldwater ","","","","['8.0%']","","","","","","","","note h – retirement program – continued sensitivity of the net pension liability to changes in the discount rate – the following presents the net pension liability of the city, calculated using the discount rate of 8.0%, as well as what the city’s net pension liability would be using a discount rate that is 1 percentage point lower"
"MI2020/MI River Rouge ","['7.00%']","","","","","","","","","","","3.00% 4.20% to 8.00%, including inflation 7.00% net of investment expenses mortality rates were based on the rp-2000 healthy life mortality table projected to 2020"
"MI2020/MI River Rouge ","['7.5%']","","","","","","","","","","","3.50% 3.50% to 7.50%, including inflation 7.5% net of investment expenses mortality rates were based on the rp-2014 healthy annuitant table projected to 2020 with"
"MI2020/MI River Rouge ","","","","['6.5 percent']","","","","","","","","following presents the net pension liability of the city, calculated using the discount rate of 7.5 percent, as well as what the city’s net pension liability would be if it were calculated using a discount rate that is 1-percentage-point lower (6.5 percent) or 1-percentage-point higher (8.5 percent) than the current rate:"
"MI2020/MI River Rouge ","","","","","","","","['7.0']","","","","actuarial assumptions used in the june 30, 2020 valuation was determined using a preretirement medical inflation assumption of 6.0 percent in the first year decreasing in increments of 0.1 percent over the next 10 years to the ultimate 5.0 percent assumption; an investment rate of return of 7.0 percent; and using the rp-2014 mortality table with generational mp 2017."
"MI2020/MI River Rouge ","","","","['7.0 percent']","","","","","","","","5%-10% discount rate the discount rate used to measure the total opeb liability was 7.0 percent. the projection of cash flows used to determine the discount rate assumed that plan contributions will be"
"MI2020/MI River Rouge ","","","","","","","['7.0 percent']","['7.0']","['7.0 percent']","","","note 15 - other postemployment benefits (continued) investment rate of return the investment rate of return was assumed to be 7.0 percent, net of opeb plan investment expense, including inflation."
"MI2020/MI River Rouge ","","","","","","","['7.0 percent']","['7.0']","['7.0 percent']","","","note 15 - other postemployment benefits (continued) investment rate of return the investment rate of return was assumed to be 7.0 percent, net of opeb plan investment expense, including inflation."
"MI2020/MI River Rouge ","","","","","","","['7.0 percent']","['7.0']","['7.0 percent']","","","note 15 - other postemployment benefits (continued) investment rate of return the investment rate of return was assumed to be 7.0 percent, net of opeb plan investment expense, including inflation."
"MI2020/MI River Rouge ","['7.50%']","","","","","","","","","","","3.50% - 7.50%, including wage inflation investment rate of return 7.50% net of investment and administrative expenses retirement age"
"MI2020/MI River Rouge ","","","","","","","","","","['7.0%']","","2.50% investment rate of return 7.0% net of plan investment expenses mortality"
"MI2020/MI Jackson ","","","","['6.85%']","","","","","","","","retirement age mortality rate discount rate. a single discount rate of 6.85% was used to measure the total pension liability. the projection of cash flows used to determine this single discount rate assumed that plan member contributions will be made at the current"
"MI2020/MI Jackson ","","","","['6.0%']","","","","","","","","projection scale mp‐2018. first used for the june 30, 2018 valuation. discount rate. a single discount rate of 6.0% was used to measure the total pension liability. the single discount rate was based on an expected rate of return on pension plan investments of 6.0%. the projection of cash flows used to"
"MI2020/MI Jackson ","","","","['6.0%']","","","","","","","","city of jackson, michigan notes to financial statements discount rate. a single discount rate of 6.0% was used to measure the total pension liability. the single discount rate was based on an expected rate of return on pension plan investments of 6.0%. the projection of cash flows used to"
"MI2020/MI Jackson ","","","","['5.00%']","","","","","","","","are closely monitored by the board of trustees of each in order to achieve a blended money‐weighted real rate of return of 2.05 percent. discount rate. a single discount rate of 5.00% was used to measure the total opeb liability. this single discount rate was based on the expected rate of return on opeb plan investments of 5.00%. the projection of cash flows used to"
"MI2020/MI Jackson ","['5.00%']","","","","","","","","","","","2.50% 3.00% to 9.00%, including inflation 5.00%, net of investment expenses, including inflation 8.25% in 2018, grading to 3.50% in 2030"
